#Path C:\MINIGUI\UTILS\FUNCLIST
#Title MiniGUI Source
h_activex.prg                 	                    	
   _DefineActivex             	Procedure           	
   ReleaseActiveX             	Procedure           	
   SetActiveXObject           	Function            	
   GetActiveXObject           	Function            	
   _GetControlObject          	Function            	
   INITACTIVEX                	HB_FUNC             	
   EXITACTIVEX                	HB_FUNC             	
h_animate.prg                 	                    	
   _DefineAnimateRes          	Function            	
   SetAnimateResFile          	Function            	
   GetAnimateResFile          	Function            	
   SetAnimateResId            	Function            	
   GetAnimateResId            	Function            	
   ReleaseAnimateRes          	Procedure           	
   INITANIMATERES             	HB_FUNC             	
   UNLOADANIMATELIB           	HB_FUNC             	
c_bitmap.c                    	                    	
   SAVEWINDOWBYHANDLE         	HB_FUNC             	
   WNDCOPY                    	HB_FUNC             	
   C_HASALPHA                 	HB_FUNC             	
   DRAWGLYPH                  	HB_FUNC             	
   DRAWGLYPHMASK              	HB_FUNC             	
   LOADBITMAP                 	HB_FUNC             	
   HB_GETIMAGESIZE            	HB_FUNC             	
   GETBITMAPSIZE              	HB_FUNC             	
   GETICONSIZE                	HB_FUNC             	
h_browse.prg                  	                    	
   _DefineBrowse              	Function            	
   InitDialogBrowse           	Function            	
   HMG_OrdCreate              	Static  Procedure   	
   HMG_SetOrder               	Procedure           	
   _BrowseUpdate              	Procedure           	
   _GetBrowseFieldValue       	Function            	
   _GetBrowseFnValue          	Function            	
   _TypeEx                    	Static  Function    	
   _BrowseNext                	Procedure           	
   _BrowsePrior               	Procedure           	
   _BrowseHome                	Procedure           	
   _BrowseEnd                 	Procedure           	
   _BrowseUp                  	Procedure           	
   _BrowseDown                	Procedure           	
   _BrowseRefresh             	Procedure           	
   _BrowseSetValue            	Procedure           	
   _BrowseGetValue            	Function            	
   _BrowseDelete              	Function            	
   _BrowseEdit                	Function            	
   _EditRecord                	Function            	
   _WHENEVAL                  	Static  Procedure   	
   _EditRecordOk              	Static  Function    	
   _EditRecordCancel          	Static  Function    	
   _BrowseInPlaceEdit         	Static  Function    	
   _InPlaceEditOk             	Static  Procedure   	
   _InPlaceEditSave           	Static  Procedure   	
   NetRlock                   	Static  Function    	
   ProcessInPlaceKbdEdit      	Procedure           	
   _BrowseSync                	Static  Procedure   	
   _BrowseOnChange            	Procedure           	
   _BrowseInPlaceAppend       	Static  Procedure   	
   _BrowseVscrollUpdate       	Static  Procedure   	
   _BrowseVscrollFastUpdate   	Procedure           	
   _SetGetBrowseProperty      	Function            	
   NoQuote                    	Static  Function    	
c_browse.c                    	                    	
   INITBROWSE                 	HB_FUNC             	
   INITVSCROLLBAR             	HB_FUNC             	
   GETSCROLLRANGEMAX          	HB_FUNC             	
   INITVSCROLLBARBUTTON       	HB_FUNC             	
   SETSCROLLINFO              	HB_FUNC             	
h_btntextbox.prg              	                    	
   _DefineBtnTextBox          	Function            	
   InitDialogBtnTextBox       	Function            	
   TBBtnEvents                	Function            	
c_btntextbox.c                	                    	
   INITBTNTEXTBOX             	HB_FUNC             	
   REDEFBTNTEXTBOX            	HB_FUNC             	
   SETTBBTNMARGIN             	HB_FUNC             	
h_button.prg                  	                    	
   _DefineButton              	Function            	
   _DefineImageButton         	Function            	
   InitDialogButtonImage      	Function            	
   _DefineOwnerButton         	Function            	
   OBTNEVENTS                 	Function            	
   OwnButtonPaint             	Function            	
   ToUnicode                  	Static  Function    	
   _SetBtnPictureMask         	Function            	
   _DestroyBtnPictureMask     	Function            	
   _DestroyBtnPicture         	Function            	
   Darker                     	Function            	
   Lighter                    	Function            	
   CountIt                    	Static  Function    	
   InvertGradInfo             	Static  Function    	
   ModifGradInfo              	Static  Function    	
   ReplaceGradInfo            	Static  Procedure   	
   _GradientFill              	Static  Function    	
c_button.c                    	                    	
   INITBUTTON                 	HB_FUNC             	
   INITIMAGEBUTTON            	HB_FUNC             	
   INITOWNERBUTTON            	HB_FUNC             	
   _SETBTNPICTURE             	HB_FUNC             	
   _GETBTNPICTUREHANDLE       	HB_FUNC             	
   _SETMIXEDBTNPICTURE        	HB_FUNC             	
   _SETBTNICON                	HB_FUNC             	
   _SETMIXEDBTNICON           	HB_FUNC             	
   DRAWBUTTON                 	HB_FUNC             	
   GETOWNBTNHANDLE            	HB_FUNC             	
   GETOWNBTNSTATE             	HB_FUNC             	
   GETOWNBTNDC                	HB_FUNC             	
   GETOWNBTNITEMID            	HB_FUNC             	
   GETOWNBTNITEMACTION        	HB_FUNC             	
   GETOWNBTNCTLTYPE           	HB_FUNC             	
   GETOWNBTNRECT              	HB_FUNC             	
   CREATEBUTTONBRUSH          	HB_FUNC             	
h_checkbox.prg                	                    	
   _DefineCheckBox            	Function            	
   _DefineCheckButton         	Function            	
   InitDialogCheckButton      	Function            	
   _DefineImageCheckButton    	Function            	
c_checkbox.c                  	                    	
   INITCHECKBOX               	HB_FUNC             	
   INITCHECKBUTTON            	HB_FUNC             	
   INITIMAGECHECKBUTTON       	HB_FUNC             	
h_chklabel.prg                	                    	
   _DefineChkLabel            	Function            	
   GetCheckBmp                	Static  Function    	
   cAnsi2Bmp                  	Static  Function    	
